TEAM_ID,TEAM_NAME,SEASON,RA_FGM,RA_FGA,PT_FGM,PT_FGA,MR_FGM,MR_FGA,AB_FGM,AB_FGA,CN_FGM,CN_FGA
1610612762,Utah Jazz,2021,1062,1631,529,1172,175,443,862,2229,343,856
1610612764,Washington Wizards,2021,1178,1766,721,1508,476,1188,548,1562,185,514
1610612737,Atlanta Hawks,2022,1303,2033,569,1315,474,1074,774,2144,280,661
1610612738,Boston Celtics,2022,1373,1974,535,1270,349,884,791,2292,293,737
1610612751,Brooklyn Nets,2022,1289,2041,595,1301,618,1310,687,1950,253,642
1610612766,Charlotte Hornets,2022,1645,2546,462,1190,260,637,796,2179,345,925
1610612741,Chicago Bulls,2022,1355,2079,521,1141,677,1553,591,1666,277,670
1610612739,Cleveland Cavaliers,2022,1473,2208,511,1261,319,788,726,2018,225,656
1610612742,Dallas Mavericks,2022,1187,1711,573,1270,391,946,743,2210,328,831
1610612743,Denver Nuggets,2022,1467,2121,553,1173,357,841,733,2120,306,801
1610612765,Detroit Pistons,2022,1393,2287,477,1237,334,904,637,2018,288,801
1610612744,Golden State Warriors,2022,1326,1893,505,1152,321,822,922,2468,248,728
1610612745,Houston Rockets,2022,1628,2540,376,998,120,378,904,2571,201,578
1610612754,Indiana Pacers,2022,1524,2355,515,1174,363,910,710,2120,286,754
1610612746,LA Clippers,2022,1182,1821,599,1348,457,1200,780,2145,267,641
1610612747,Los Angeles Lakers,2022,1663,2483,355,925,416,1050,719,2126,262,690
1610612763,Memphis Grizzlies,2022,1527,2378,833,1984,265,704,705,2010,241,650
1610612748,Miami Heat,2022,1221,1858,542,1212,371,952,730,1997,382,912
1610612749,Milwaukee Bucks,2022,1363,2009,481,1152,433,1023,845,2354,307,782
1610612750,Minnesota Timberwolves,2022,1479,2285,476,1146,250,660,891,2557,315,792
1610612740,New Orleans Pelicans,2022,1412,2222,572,1309,441,1061,626,1945,241,657
1610612752,New York Knicks,2022,1270,2050,433,1131,308,868,808,2320,269,693
1610612760,Oklahoma City Thunder,2022,1202,1991,720,1670,229,587,762,2384,228,669
1610612753,Orlando Magic,2022,1319,2079,544,1352,279,796,742,2333,255,664
1610612755,Philadelphia 76ers,2022,1293,1950,552,1336,439,1056,680,1897,266,681
1610612756,Phoenix Suns,2022,1160,1694,880,1753,593,1329,669,1885,279,716
1610612757,Portland Trail Blazers,2022,1319,2187,478,1140,325,806,792,2338,247,662
1610612758,Sacramento Kings,2022,1384,2108,625,1504,376,892,697,2085,238,621
1610612759,San Antonio Spurs,2022,1396,2168,789,1745,440,1070,684,1967,236,637
1610612761,Toronto Raptors,2022,1267,2010,664,1570,427,1115,689,2065,283,713
1610612762,Utah Jazz,2022,1303,1881,660,1446,176,438,865,2436,322,852
1610612764,Washington Wizards,2022,1417,2025,595,1463,456,1058,601,1847,258,652
1610612737,Atlanta Hawks,2023,1479,2224,747,1642,551,1207,628,1800,253,693
1610612738,Boston Celtics,2023,1352,1963,550,1231,246,596,981,2657,331,819
1610612751,Brooklyn Nets,2023,1227,1840,578,1251,547,1118,772,2067,275,696
1610612766,Charlotte Hornets,2023,1601,2482,574,1475,329,788,629,1937,252,721
1610612741,Chicago Bulls,2023,1487,2227,499,1064,651,1462,598,1715,253,644
1610612739,Cleveland Cavaliers,2023,1520,2215,644,1442,295,741,707,1918,242,658
1610612742,Dallas Mavericks,2023,1222,1807,533,1080,284,669,864,2383,379,945
1610612743,Denver Nuggets,2023,1682,2377,575,1261,350,895,695,1863,270,665
1610612765,Detroit Pistons,2023,1287,2002,620,1500,407,986,657,1905,273,734
1610612744,Golden State Warriors,2023,1224,1749,616,1297,335,811,1070,2776,292,737
1610612745,Houston Rockets,2023,1586,2467,663,1608,226,595,686,2137,168,466
1610612754,Indiana Pacers,2023,1526,2386,507,1217,300,713,829,2284,280,729
1610612746,LA Clippers,2023,1287,1970,580,1281,462,1077,755,2005,285,712
1610612747,Los Angeles Lakers,2023,1674,2439,562,1289,398,1016,645,1895,237,651
1610612763,Memphis Grizzlies,2023,1579,2429,814,1790,207,527,713,2061,271,729
1610612748,Miami Heat,2023,1143,1741,758,1580,335,821,687,2051,292,790
1610612749,Milwaukee Bucks,2023,1416,2057,468,1088,403,963,920,2500,297,792
